11,1500,18.626,1.74173
11,1024,18.4254,1.68815
11,512,17.9563,1.65621
11,256,17.4026,1.62878
11,128,16.9676,1.61906
10,1500,16.5886,1.28473
10,1024,16.3998,1.27629
10,512,16.0002,1.26925
10,256,15.5479,1.28337
10,128,15.0431,1.29525
9,1500,13.5092,1.79895
9,1024,13.2146,1.77778
9,512,12.8483,1.75328
9,256,12.4102,1.69758
9,128,11.9254,1.67293
8,1500,9.14988,1.16282
8,1024,8.9307,1.1672
8,512,8.54865,1.18188
8,256,8.1019,1.14637
8,128,7.64187,1.16382
7,1500,7.4106,1.79951
7,1024,7.22656,1.76572
7,512,6.81338,1.7627
7,256,6.37966,1.71269
7,128,6.03192,1.69509
6,1500,3.60535,1.14074
6,1024,3.39336,1.11592
6,512,3.03197,1.09194
6,256,2.63541,1.09212
6,128,2.25056,1.07738
5,1500,10.1608,1.02881
5,1024,9.83242,0.995425
5,512,9.25424,0.964697
5,256,8.68276,0.976566
5,128,8.0862,1.03282
4,1500,4.35434,1.74588
4,1024,4.13869,1.75315
4,512,3.81661,1.74239
4,256,3.43531,1.717
4,128,3.00879,1.69698
3,1500,0.548378,1.13025
3,1024,0.374701,1.09918
3,512,0.0374626,1.08236
3,256,-0.344862,1.06662
3,128,-0.710266,1.07098
2,1500,7.08798,0.755383
2,1024,6.85031,0.702977
2,512,6.42318,0.75684
2,256,5.96238,0.780123
2,128,5.48364,0.832518
1,1500,3.73039,0.526933
1,1024,3.5421,0.590439
1,512,3.15298,0.660261
1,256,2.78389,0.603446
1,128,2.9602,0.00164038
0,1500,0.321865,0.607773
0,1024,0.11326,0.615007
0,512,-0.135162,0.319834
0,256,-0.186439,0.20814
0,128,-0.339951,0.262129
